name,grants_url,homepage,priority,canada_eligible,canada_confidence,career_stage_eligible,research_fit_score,research_fit_notes,tags,notes,deadline_hint,paper_count
Norges Forskningsråd,https://www.forskningsradet.no/en/funding-for-research/,https://www.forskningsradet.no/en/,medium,True,medium,,3,"Moderate fit. The applicant's work in ecological restoration, prairie grassland conservation, and social-ecological systems aligns with typical Nordic research priorities in sustainability and environmental science. However, the emphasis on AI-assisted evidence synthesis and knowledge mobilization may not be core to typical NRC funding streams. The translational ecology and landowner engagement angles are relevant but not prominent in most Norwegian research agendas.",funding; ecology; canada-eligible,"Monitor this funder for collaborative opportunities, particularly if the applicant partners with Norwegian institutions on ecological restoration or grassland conservation. Direct eligibility and research fit are uncertain without access to active funding calls; investigate specific NRC programmes for early-career researchers and international collaboration.",,20
Division of Environmental Biology,https://www.nsf.gov/bio/deb/solicitations.jsp,https://www.nsf.gov/bio/deb/,medium,True,medium,True,4,"Strong fit: ecological restoration, prairie grassland conservation, and social-ecological systems are core DEB interests. Good alignment with translational ecology and landowner engagement. AI-assisted evidence synthesis and ontology development are novel methodological strengths that complement traditional ecology funding. Knowledge mobilization is less typical for DEB but increasingly valued.",funding; ecology; canada-eligible,"Solid research fit with DEB's scope, but NSF eligibility for Canadian-based applicants requires verification of specific program requirements. Monitor for explicit calls allowing Canadian institutions or international partnerships.",,17
Deutsches Zentrum für integrative Biodiversitätsforschung Halle-Jena-Leipzig,https://www.idiv.de/en/funding.html,https://www.idiv.de,medium,True,medium,True,4,"Strong fit on ecological restoration, social-ecological systems, and prairie/grassland conservation. Good alignment with biodiversity research mission. Knowledge mobilization and landowner engagement relevant to integrative biodiversity approach. AI-assisted synthesis methods are modern but may be secondary to traditional ecology focus.",funding; ecology; canada-eligible,"Good research fit with integrative biodiversity center, but Canadian eligibility uncertain and likely requires collaboration with German/European partner. Monitor for international call mechanisms or bilateral partnership opportunities.",,16
Gordon and Betty Moore Foundation,https://www.moore.org/grants-and-fellowships,https://www.moore.org,medium,True,medium,,3,"Moderate overlap with Environmental Conservation and Science programs. Applicant's prairie grassland conservation, ecological restoration, and translational ecology align with Conservation initiatives. However, Moore Foundation's programs emphasize specific regional focus (Andes-Amazon, Arctic Ocean, Bay Area) and conservation markets rather than the applicant's distinctive strengths in AI-assisted evidence synthesis, ontology development, and knowledge mobilization. Limited visibility of LLM/AI methods in foundation's stated priorities.",funding; ecology; canada-eligible,"Monitor for specific RFPs in environmental conservation or science programs, particularly if foundation launches AI-for-conservation initiatives. Applicant's Canadian location and postdoctoral status require verification of eligibility before full application preparation.",,15
Wellcome Trust,https://wellcome.org/funding,https://wellcome.org,medium,True,high,True,3,"Moderate fit. Wellcome Trust prioritizes health, life sciences, and biomedical research. The applicant's work in ecological restoration, prairie conservation, and social-ecological systems has some alignment with environmental health and biodiversity themes. However, the heavy emphasis on AI-assisted evidence synthesis and knowledge mobilization methods may be peripheral to typical Wellcome priorities. Landowner engagement and translational ecology are relevant but not core Wellcome themes.",funding; ecology; canada-eligible,"Monitor Wellcome Trust calls relevant to environmental health, conservation, or interdisciplinary science, but this applicant's profile (ecology + AI + social systems) is not a natural fit for Wellcome's traditional biomedical focus. Check for specific environmental health or conservation-focused calls before investing application effort.",,13
H2020 Marie Skłodowska-Curie Actions,https://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/index.html,https://ec.europa.eu/research/mariecurieactions/,medium,True,high,True,2,"The applicant's work in ecological restoration, prairie conservation, and social-ecological systems has limited direct overlap with the EU research agenda shown (digital technology, innovation, digital skills). However, MSCA funds diverse research areas including environmental sciences. The applicant's AI-assisted evidence synthesis and knowledge mobilization methods may align with broader EU innovation priorities, but the ecological focus is not emphasized in the visible page content.",funding; ecology; canada-eligible,"The applicant may be eligible for MSCA-PF if applying while still postdoctoral, but the available page content does not detail specific calls, deadlines, or research priority areas. Recommend checking the official MSCA portal for active calls and confirming host institution eligibility (likely requires EU/associated country affiliation).",,13
Villum Fonden,https://www.villumfonden.dk/en/calls-for-proposals,https://www.villumfonden.dk/,medium,True,medium,True,3,"Partial overlap. Villum Fonden typically supports natural sciences and environmental research, which aligns with ecological restoration and prairie conservation. However, the foundation's emphasis on fundamental science and sustainability may not strongly prioritize the applicant's translational ecology, AI-assisted methods, and knowledge mobilization focus. Social-ecological systems work is moderately aligned.",funding; ecology; canada-eligible,"Monitor this opportunity. The applicant's ecological restoration and grassland conservation work fits Villum Fonden's environmental research scope, but the heavy emphasis on AI and translational aspects may not align with the foundation's typical research priorities. Worth tracking for future calls.",,8
Directorate for Biological Sciences,https://www.nsf.gov/funding/opportunities.jsp,https://www.nsf.gov/bio/,medium,True,medium,True,4,"Strong fit: DBS funds ecology, conservation biology, and environmental systems research. Applicant's work in ecological restoration, prairie grassland conservation, and social-ecological systems aligns well. Moderate fit for AI/LLM and knowledge mobilization methods—DBS is increasingly open to computational and translational approaches, but these are secondary to core ecology. Excellent match on restoration and conservation themes.",funding; ecology; canada-eligible,"Good research fit for ecological restoration and conservation work, with eligible career stage. However, applicant should verify program-specific eligibility rules and whether Canadian applicants require US institutional affiliation or collaboration. Monitor for CAREER or relevant core DBS solicitations.",,7
Alexander von Humboldt-Stiftung,https://www.humboldt-foundation.de/en/apply/programmes-and-calls,https://www.humboldt-foundation.de,medium,True,high,True,3,"Moderate fit. Humboldt Foundation emphasizes excellence in research and often supports collaborative, interdisciplinary work. The applicant's social-ecological systems, translational ecology, and knowledge mobilization align with Humboldt's values. However, the foundation typically emphasizes fundamental research and researcher mobility/exchange rather than applied conservation or community engagement as primary focuses. AI-assisted evidence synthesis is contemporary but not traditionally a Humboldt priority.",funding; ecology; canada-eligible,"Monitor for active calls. The applicant's interdisciplinary profile and early-career stage fit Humboldt's scope, but the applied/translational focus and Canadian base (not requiring Germany placement) may reduce competitiveness relative to researchers seeking extended German collaboration.",,6
Agropolis Fondation,https://www.agropolis.fr/appels-a-projets,https://www.agropolis.fr/,medium,True,medium,,4,"Excellent thematic alignment with agricultural systems, ecological restoration, and translational research. Prairie grassland conservation and landowner engagement align with Agropolis' focus on sustainable agriculture and rural development. AI-assisted evidence synthesis and knowledge mobilization are emerging strengths in agricultural research. Social-ecological systems approach matches funder's integrated perspective.",funding; ecology; canada-eligible,"Strong research thematic fit for agricultural/ecological restoration focus, but Canadian eligibility and career stage fit remain uncertain without page access. Recommend verifying partnership/eligibility requirements and checking for active calls before investing application effort.",,6
SystemsX.ch,https://www.systemsx.ch/calls/,https://www.systemsx.ch/,medium,True,medium,,4,"Strong fit for systems-level research combining ecology, social sciences, and computational methods. The applicant's work on social-ecological systems, causal inference, translational ecology, and knowledge mobilization aligns well with SystemsX.ch's focus on understanding complex systems. AI-assisted evidence synthesis and ontology development are contemporary methods SystemsX.ch likely values. Prairie conservation and landowner engagement are applied domains that fit the systems approach.",funding; ecology; canada-eligible,"Monitor this funder for future calls if the applicant secures a tenure-track position in Canada; the research fit is strong for systems-level ecology and AI integration, but Canadian eligibility and career-stage fit require confirmation of specific call requirements and partnership rules.",,6
Royal Society,https://royalsociety.org/grants-schemes-awards/,https://royalsociety.org/,medium,True,medium,True,3,"Moderate fit. The applicant's interdisciplinary work in ecological restoration, social-ecological systems, and knowledge mobilization aligns with Royal Society's interest in applied research and tackling 'biggest challenges' (climate, biodiversity). However, Royal Society appears focused on fundamental/discovery-led research with UK emphasis. The applicant's AI-assisted evidence synthesis and translational ecology are somewhat niche for this funder's traditional portfolio.",funding; ecology; canada-eligible,"Monitor this funder. The applicant is likely eligible as an overseas early-career researcher, but Royal Society prioritizes UK-based science. Research fit is partial—ecological restoration and interdisciplinary work have merit, but the funder's emphasis on fundamental discovery and UK community may not perfectly align with the applicant's translational/applied restoration focus.",Short Industry Fellowship closing 28 May 2026 visible; other grants listed but specific deadlines require accessing full grants portal.,5
Vrije Universiteit Brussel,https://www.vub.be/en/research-funding,https://www.vub.be/,medium,True,medium,,3,"Moderate overlap: the applicant's work in ecological restoration, social-ecological systems, and prairie conservation aligns with potential environmental/sustainability research priorities at a European institution. However, the heavy emphasis on Canadian prairie grasslands and North American landowner engagement may limit geographic relevance. The AI-assisted methods and knowledge mobilization aspects are contemporary and potentially valuable to VUB's research mission.",funding; ecology; canada-eligible,"Monitor this funder if an active international or collaborative research call opens; the applicant's interdisciplinary profile and rigorous methods are potentially attractive to a research-intensive European institution, but Canadian eligibility and research geographic fit require verification of specific call documents.",,4
David and Lucile Packard Foundation,https://www.packard.org/what-we-fund/open-calls/,https://www.packard.org/,medium,True,high,True,4,"Strong fit for Packard's conservation and science program areas. Applicant's work in prairie grassland conservation, ecological restoration, landowner engagement, and translational ecology align well with Packard's focus on biodiversity conservation and species protection. Social-ecological systems and knowledge mobilization approaches match Packard's support for science-based solutions. AI-assisted evidence synthesis is less traditional for Packard but increasingly relevant. Some potential mismatch: Packard typically funds conservation outcomes over methodological innovation (LLMs, ontology development).",funding; ecology; canada-eligible,"Solid research alignment with Packard's conservation mission, particularly around grassland restoration and landowner engagement. However, applicant should verify whether specific Packard program (e.g., Conservation and Science) has an open call and confirm Canadian institution eligibility in current funding guidelines, as foundation priorities and geographic focus can shift.",,4
Alfred P. Sloan Foundation,https://sloan.org/grants/apply,https://sloan.org/,medium,True,high,True,3,"Partial overlap: Sloan Foundation has strong programs in scientific research, technology, and select environmental areas. The applicant's work in AI-assisted evidence synthesis, causal inference methods, and translational ecology aligns with Sloan's interest in computational approaches and science. However, prairie grassland conservation and landowner engagement are more applied/regional than Sloan's typical portfolio. Knowledge mobilization and social-ecological systems work may fit better under their science programs than traditional conservation funding.",funding; ecology; canada-eligible,"Monitor Sloan Foundation calls, particularly those focused on computational methods, research tools, or science infrastructure. The applicant's AI and evidence synthesis expertise is a stronger fit than the ecological application domain alone.",,4
Leibniz-Gemeinschaft,https://www.leibniz-gemeinschaft.de/en/funding/,https://www.leibniz-gemeinschaft.de,medium,True,medium,,3,"Moderate fit. Leibniz institutes span ecology, conservation, and social-ecological systems research, which aligns with the applicant's grassland conservation and restoration focus. However, the applicant's AI-assisted evidence synthesis and LLM methods are emerging/innovative areas that may fall outside traditional Leibniz research scopes. Knowledge mobilization and landowner engagement are relevant but not core to most Leibniz mandates.",funding; ecology; canada-eligible,"Monitor for open calls, particularly those emphasizing ecology, conservation, or social-ecological systems with international participation. The applicant's strong interdisciplinary profile and Canadian affiliation are assets, but lead applicant eligibility and AI/computational method acceptance require clarification of specific call requirements.",,3
Social Sciences and Humanities Research Council of Canada,https://www.sshrc-crsh.gc.ca/funding-financement/funding_opportunities-possibilites_de_financement/index-eng.aspx,https://www.sshrc-crsh.gc.ca,medium,True,high,True,3,"Partial fit. SSHRC's mandate emphasizes social sciences and humanities; the applicant's work in knowledge mobilization, landowner engagement, and social-ecological systems aligns well. However, the technical AI/LLM methods and ecological restoration focus are secondary to SSHRC's core scope, which typically prioritizes social science framing over natural science or computational methods. The translational ecology and community engagement aspects are strong fits.",funding; ecology; canada-eligible,"Monitor SSHRC funding streams for knowledge mobilization and early-career support; the applicant's social-ecological and community engagement focus is relevant, but may need to emphasize social science dimensions over AI/computational methods to maximize fit with SSHRC's humanities and social sciences mandate.",,3
UK Research and Innovation,https://www.ukri.org/funding/,https://www.ukri.org/,medium,True,medium,True,4,"Good fit: UKRI (particularly NERC and ESRC) frequently funds ecological restoration, social-ecological systems, translational ecology, and nature-based solutions. The applicant's interdisciplinary work bridging ecology, social science, and emerging methods (AI-assisted synthesis) aligns well with UKRI's emphasis on cross-disciplinary research and knowledge mobilization. Prairie grassland conservation and landowner engagement are relevant to UK environmental priorities and international research agendas. Minor gap: prairie-specific work may be less directly aligned with UK-focused conservation, though comparative ecology research is welcomed.",funding; ecology; canada-eligible,"Monitor UKRI opportunities, particularly NERC and ESRC open calls, for potential fit with ecological restoration and translational research themes. Applicant should verify Canadian eligibility on specific schemes and consider UK collaborators to strengthen competitiveness.",,3
Office of International Science and Engineering,https://www.nsf.gov/funding/,https://www.nsf.gov/oise/,medium,True,medium,,3,"Moderate fit: The applicant's work in ecological restoration, social-ecological systems, and translational ecology aligns with OISE's international science priorities. However, OISE typically emphasizes international collaboration and comparative research across borders. The applicant's Canadian focus (prairie grasslands, Canadian landowners) and lack of explicit international comparative component reduces fit. AI-assisted methods and knowledge mobilization are less central to typical OISE priorities.",funding; ecology; canada-eligible,Monitor OISE solicitations for international collaboration opportunities that could position the applicant's ecological restoration work within a cross-border comparative framework. Direct eligibility and fit depend on specific open calls and whether research can be framed as international collaboration rather than domestic Canadian work.,,3
Helsingin Yliopisto,https://www.helsinki.fi/en/research/research-funding,https://www.helsinki.fi/,medium,True,medium,,3,"Partial overlap: University of Helsinki has Faculty of Biological and Environmental Sciences and Faculty of Agriculture and Forestry which align with the applicant's ecological restoration and grassland conservation work. However, the page shown is a generic research funding services hub rather than a specific call. No explicit mention of AI-assisted evidence synthesis, knowledge mobilization, or social-ecological systems themes. The interdisciplinary nature (ecology + AI + social science) may not align with traditional disciplinary funding tracks.",funding; ecology; canada-eligible,"Monitor for specific calls from University of Helsinki or Finnish funders they administer. The applicant's ecological restoration work has some thematic alignment with Finnish research priorities, but this appears to be a services hub rather than an active opportunity. Verify eligibility and specific research scope alignment when a targeted call is identified.",,3
Michigan State University,https://www.msu.edu,,medium,True,medium,True,4,"Strong fit for ecological restoration, grassland conservation, and translational ecology work. MSU has substantial expertise in agricultural systems, land management, and community engagement. Good alignment with prairie/grassland focus and landowner engagement. AI-assisted evidence synthesis and ontology development are emerging strengths that may be less central to MSU's traditional focus but increasingly relevant.",funding; ecology; canada-eligible,"Moderate fit for applicant's ecological restoration and grassland conservation work with strong institutional alignment, but Canadian eligibility and specific program scope cannot be confirmed without access to the funding page. Monitor for open calls and verify eligibility requirements.",,2
Wellcome,https://wellcome.org/grant-funding,https://wellcome.org/,medium,True,high,True,3,"Partial overlap. Wellcome's strategic priorities include Climate and Health, Discovery Research, Infectious Disease, and Mental Health. The applicant's work in ecological restoration, prairie grassland conservation, and social-ecological systems aligns with climate/environmental health dimensions. However, Wellcome emphasizes 'life, health and wellbeing' and 'equitable health solutions'—the applicant's core focus on ecological restoration and AI-assisted evidence synthesis is less central to Wellcome's explicit mission. Knowledge mobilization and translational ecology could fit, but this is not a primary funder for pure conservation/restoration ecology.",funding; ecology; canada-eligible,"Wellcome is geographically eligible and supports the applicant's career stage, but research fit is moderate. The funder's health and wellbeing mandate may not prioritize the applicant's ecological restoration focus unless framed through a health/climate lens. Worth monitoring for specific calls in Climate and Health that could accommodate translational ecology and knowledge mobilization work.",Page content is navigation/overview only; no specific open calls or deadlines visible. Applicant should check 'Find a funding opportunity' section on Wellcome's platform for active schemes.,2
"Ontario Ministry of Research, Innovation and Science",https://www.ontario.ca/page/ministry-colleges-and-universities,,medium,True,high,,3,"The applicant's work in ecological restoration, prairie grassland conservation, and landowner engagement aligns with Ontario's likely research priorities in natural resource management and environmental conservation. However, Ontario MRIS typically focuses on innovation, commercialization, and applied research in Ontario-specific contexts. The applicant's strengths in AI-assisted evidence synthesis and translational ecology are relevant, but prairie grassland conservation may have limited direct relevance to Ontario's ecosystems. Social-ecological systems and knowledge mobilization themes are moderate fits.",funding; ecology; canada-eligible,"The applicant is eligible as a Canadian researcher, but should verify that specific MRIS programs (likely Early Researcher Award or similar) support the postdoc-to-faculty transition and that Ontario-based research directions align with available calls. Monitor for program-specific openings that match interdisciplinary, applied ecology work.",,2
University of Southampton,https://www.southampton.ac.uk/research/funding/,https://www.southampton.ac.uk,medium,True,medium,True,4,"Strong alignment with ecological restoration, social-ecological systems, and translational ecology. The applicant's work on prairie conservation and landowner engagement fits well with UK/international restoration agendas. AI-assisted evidence synthesis and knowledge mobilization are emerging priorities. Potential gap: UK funder may prioritize UK/European ecosystems (not prairie grasslands), but methods and frameworks are highly transferable.",funding; ecology; canada-eligible,"Good thematic fit for an interdisciplinary restoration and knowledge mobilization researcher, but eligibility depends on specific scheme rules (some UK schemes restrict to UK institutions). Applicant should verify eligibility before investing significant effort; monitor for calls aligned with translational ecology or AI-evidence synthesis.",,2
Lunds Universitet,https://www.lu.se/en/research/research-funding,https://www.lu.se,medium,True,medium,,3,"Moderate fit. The applicant's work in ecological restoration, prairie grassland conservation, and social-ecological systems aligns with environmental/sustainability research likely supported by a major Swedish research university. However, the heavy emphasis on AI-assisted methods, knowledge mobilization, and translational ecology may be a secondary focus for traditional ecology-focused funders. Without seeing the specific call, it is difficult to assess alignment with Lunds Universitet's current priorities.",funding; ecology; canada-eligible,"Monitor this funder if an open call appears that explicitly welcomes Canadian researchers or international collaborators. The applicant's interdisciplinary ecology and restoration work has reasonable fit with a major research university, but Canadian eligibility and career-stage fit require verification of the specific funding call.",,2
PADI Foundation,https://www.padifoundation.org/grants,https://www.padifoundation.org/,medium,True,medium,,3,"Moderate fit: applicant's work in ecological restoration, social-ecological systems, and prairie grassland conservation aligns with sustainability focus. However, PADI's primary emphasis is climate change and sustainability broadly; translational ecology, AI-assisted evidence synthesis, and knowledge mobilization are secondary to core funder priorities. Strong thematic overlap on restoration and landowner engagement.",funding; ecology; canada-eligible,"Applicant's ecological restoration and social-ecological systems work has reasonable alignment with PADI's sustainability mission, but without access to full funding guidelines, confidence is moderate. Recommend verifying eligibility criteria and climate/sustainability emphasis before investing application effort.",,2
Horizon 2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search,https://ec.europa.eu/programmes/horizon2020/,medium,True,high,,3,"Moderate fit. The applicant's work in ecological restoration, social-ecological systems, and translational ecology aligns with Horizon 2020's sustainability and environmental goals. However, the page content provided is primarily technical CSS/styling code with no visible call details, research priorities, or topic areas. The applicant's AI-assisted methods and knowledge mobilization focus may fit some ICT or research infrastructure calls, but prairie grassland conservation (North American focus) may have limited relevance to EU-centered priorities.",funding; ecology; canada-eligible,"Monitor Horizon 2020 for open calls matching the applicant's interdisciplinary profile, particularly those in circular economy, biodiversity, or AI for evidence synthesis. Eligibility is likely, but the provided page lacks substantive information about active calls, deadlines, or research scope.",,2
Eidgenössische Technische Hochschule Zürich,https://www.ethz.ch/en/research/research-funding.html,https://www.ethz.ch,medium,True,medium,,3,"ETH Zürich has strong capacity in computational methods, AI/ML, and systems thinking—aligning with applicant's AI-assisted evidence synthesis and ontology work. Translational ecology and knowledge mobilization are less typically prioritized by a primarily engineering/hard sciences institution. Ecological restoration and grassland conservation may fall outside core research priorities unless part of an interdisciplinary sustainability initiative.",funding; ecology; canada-eligible,"ETH Zürich is a prestigious funder with methodological alignment (AI, causal inference, systems approaches) but unclear topical fit for ecological restoration and social-ecological systems work. Recommend checking the specific call for eligibility, career stage suitability, and thematic scope before investing effort.",,1
University of Melbourne,https://research.unimelb.edu.au/grants-and-funding,https://www.unimelb.edu.au,medium,True,medium,,3,"Moderate fit. The applicant's work in ecological restoration, grassland conservation, and social-ecological systems aligns with University of Melbourne's research strengths in environmental science and sustainability. However, the applicant's specific focus on North American prairie grasslands and the heavy emphasis on AI-assisted methods and Canadian landowner engagement may be less central to Melbourne's priorities. Good interdisciplinary potential but geographic and ecological context mismatch.",funding; ecology; canada-eligible,"Monitor for specific calls. University of Melbourne may offer relevant funding for the applicant's interdisciplinary ecological and AI work, but eligibility (especially for Canadians), career stage fit, and thematic alignment require verification of actual open calls and program guidelines.",,1
Griffith University,https://research.griffith.edu.au/funding,https://www.griffith.edu.au/,medium,True,medium,,4,"Strong alignment with ecological restoration, conservation, and translational ecology themes likely supported by Griffith. Good fit for AI-assisted methods and evidence synthesis. Social-ecological systems and knowledge mobilization are increasingly prioritized. Prairie grassland conservation is regional (North American) but ecological restoration principles are universal.",funding; ecology; canada-eligible,"Good research fit for ecological restoration and AI-enabled methods, but Canadian eligibility and career-stage fit are uncertain without detailed funder guidelines. Recommend checking Griffith's specific eligibility criteria and whether Canadian institutions can participate as lead or partner institutions before investing application effort.",,1
Fondation pour la Recherche sur la Biodiversite,https://www.fondationbiodiversite.fr/appels-a-projets/,https://www.fondationbiodiversite.fr/,medium,True,medium,,4,"Strong alignment with biodiversity research focus. The applicant's work in ecological restoration, prairie grassland conservation, social-ecological systems, and knowledge mobilization directly matches FRB's biodiversity research mandate. AI-assisted evidence synthesis and systematic mapping are increasingly relevant to modern biodiversity research. Translational ecology and landowner engagement fit well with FRB's emphasis on science-society interfaces.",funding; ecology; canada-eligible,"Good research fit for biodiversity and ecological restoration focus, but Canadian eligibility is unclear and this appears to be a 2022 call announcement (no active deadline visible). Monitor for current FRB open calls and clarify whether Canadians can apply as independent PIs or only as international partners.",Page dated 2022-12-14; no active deadline indicated in truncated content. Appears to be an announcement of past selections rather than a current call.,1
